omc_id,sample_id,sample_name,non_human_reads,individual_id
pitt00045,0031-3320-20240106-cDNAneg1,0031-3320-20240106-cDNAneg1_S157,30268,NA
pitt00046,0031-3321-20240106-cDNAneg2,0031-3321-20240106-cDNAneg2_S158,30848,NA
pitt00047,0031-3324-20240109-cDNAneg1,0031-3324-20240109-cDNAneg1_S161,22544,NA
pitt00048,0031-3325-20240109-cDNAneg2,0031-3325-20240109-cDNAneg2_S162,27470,NA
pitt00049,0031-3328-20240111-cDNAneg1,0031-3328-20240111-cDNAneg1_S165,28318,NA
pitt00050,0031-3329-20240111-cDNAneg2,0031-3329-20240111-cDNAneg2_S166,9084,NA
pitt00051,0031-3332-20240116-cDNAneg1,0031-3332-20240116-cDNAneg1_S169,44628,NA
pitt00052,0031-3333-20240116-cDNAneg2,0031-3333-20240116-cDNAneg2_S170,36794,NA
pitt00053,0031-3340-20240104-cDNAneg1-NoRT,0031-3340-20240104-cDNAneg1-NoRT_S181,114,NA
pitt00054,0031-3341-20240104-cDNAneg2-NoRT,0031-3341-20240104-cDNAneg2-NoRT_S182,1100,NA
pitt00055,0031-3370-20240104-cDNAneg1,0031-3370-20240104-cDNAneg1_S49,724,NA
pitt00056,0031-3371-20240104-cDNAneg2,0031-3371-20240104-cDNAneg2_S50,98,NA
pitt00057,0031-3380-20240104-cDNAneg1,0031-3380-20240104-cDNAneg1_S59,192,NA
pitt00058,0031-3389-20240104-cDNAneg1,0031-3389-20240104-cDNAneg1_S68,1390,NA
pitt00059,0031-3415-20240306-cDNAneg1-thm,0031-3415-20240306-cDNAneg1-thm_S53,46538,NA
pitt00060,0031-3416-20240306-cDNAneg2-thm,0031-3416-20240306-cDNAneg2-thm_S54,79622,NA
pitt00061,0031-3419-20240306-cDNAneg1-neb,0031-3419-20240306-cDNAneg1-neb_S85,39068,NA
pitt00062,0031-3420-20240306-cDNAneg2-neb,0031-3420-20240306-cDNAneg2-neb_S86,34198,NA
pitt00063,0031-3423-20240308-cDNAneg1-thm,0031-3423-20240308-cDNAneg1-thm_S89,59674,NA
pitt00064,0031-3424-20240308-cDNAneg2-thm,0031-3424-20240308-cDNAneg2-thm_S90,60746,NA
pitt00065,0031-3550-20240926-cDNAneg1-thm,0031-3550-20240926-cDNAneg1-thm_S76,58892,NA
